id	output	model_output	instruction
5059	1	 根據給定的資訊，悟空認為托塔李天王與哪吒三太子是他戰勝的對手。因此，答案為3。	請根據以下輸入回答選擇題，並以數字回答:;說明:悟空說：“當年老孫鬧天宮時，天上神將都不是我的對手，最後請來二郎小聖才勝我一籌。那妖精和我一般手段，天將如何能降?”許陽旌天師說：“常言說：‘一物降一物。’也許就有天將偏能降他。”悟空說：“只好領玉帝的人情，就請派托塔李天王與哪吒三太子，助我下界降妖。”李天王父子率本部天兵，點了鄧化、張蕃二雷公助陣，隨悟空來到金山，在南山坡紮下營來。李天王派哪吒前去降妖，悟空在前面引路，來到洞前罵陣。;問題:請問哪位天將可以勝過悟空?1:二郎神,2:許陽旌天師,3:哪吒三太子,4:托塔李天王
7535	2	 1:平陰縣	請根據以下輸入回答選擇題，並以數字回答:;說明:到了晚飯之後，申東造又將老殘請到上房裡，將那如何往桃花山訪劉仁甫的話，對著子平詳細問了一遍。子平又問：「從那裡去最近？」老殘道：「從此地去怎樣走法，我卻不知道。昔年是從省城順黃河到平陰縣，出平陰縣向西南三十里地，就到了山腳下了。;問題:老殘當年從哪裡出發去桃花山？1:平陰縣,2:省城,3:桃花山下,4:濟南
12412	1	 1:35度	請根據以下輸入回答選擇題，並以數字回答:;說明:這幾天在西太平洋上已經有3個颱風生成，中央氣象局表示，在菲律賓附近的2個熱帶擾動，也不排除在這幾天形成今年第9、第10號颱風。 記者 江政融報導  中央氣象局表示，目前在西北太平洋上的三個颱風，包括第5號颱風「諾盧」、第6號颱風「庫拉」、以及8號颱風「桑卡」。「諾盧」目前距離台灣還有3000多公里，並往日本南方海面移動；「庫拉」和「桑卡」則是會在今天逐漸減弱。至於在菲律賓附近熱帶擾動的發展，氣象局還要持續觀察，簡任技正伍婉華說~TAPE  在各地溫度部分，氣象局表示，今天全台依舊炎熱，各地高溫大約在34到36度之間，大台北高溫可能來到37度，提醒民眾出門前做好防曬，並多補充水分。;問題:依據本文文章，台灣當時氣溫可能為何？1:35度,2:25度,3:20度,4:15度
5593	1	 1	請根據以下輸入回答選擇題，並以數字回答:;說明:士毅聽了這話，就拱拱手道：「老伯母，你何必那樣客氣呢？」餘氏聽到他叫了一聲老伯母，這是生平所不輕易聽到的一種聲音，不由得心裡一陣歡喜，露著牙笑了起來，才開口道：「我們丫頭回來說，你老給她錢，這實在多謝得很，我們窮得簡直沒法兒說出那種樣子來，得你這些好處，我們怎樣報答你呢？」士毅雖是不大願意她那副樣子，然而已經有了小南介紹在先，當然不便在她當面輕慢了她的母親，只好拱拱手道：「你說窮，我也不是有錢的人，幫一點小忙，那很算不了一回什麼事，你何必掛齒？」;問題:誰叫餘氏聽到他叫了一聲老伯母?1:士毅,2:士恩,3:士昇,4:士靚
12472	2	 1	請根據以下輸入回答選擇題，並以數字回答:;說明:詐欺車手謊稱來高雄找朋友，不過被警方識破其實是來取款，嚇得直發抖，坦承已在台中得手兩件，本想做到這個月底，沒想到提前栽在高雄市警察手中。記者 徐郡秀 報導   看到警察出現，詐欺車手嚇得說話結巴—— 梁姓嫌犯說來高雄找朋友，盤查過程不斷發抖—— 原來一名龔姓婦人接獲詐騙電話，說她兒子跟某集團有毒品買賣糾紛，要結清一百五十萬的欠款，不然兒子就得運毒還債。婦人急得前往菜公郵局領錢。不過她的丈夫機警報案，警方趕往安撫提款婦人，並寫紙條跟婦人溝通，請她配合警方逮詐騙車手，坐在公園等候的梁姓車手察覺警方埋伏，立即搭計程車逃跑，不過仍然在高雄車站遭尾隨員警逮捕，18歲梁姓嫌犯坦承，在台中市區成功詐騙兩件，得手一百萬元，可獲取1%的傭金，本想做到這個月底就不做了，沒想到提前被高雄市警方查獲，後悔莫及。;問題:18歲梁姓嫌犯坦承，在台中市區成功詐騙幾件？1:1,2:2,3:3,4:4
11606	1	 1:屠宰凍存304隻雞,2:扣留305隻雞,3:扣留306隻雞,4:扣留307隻雞	請根據以下輸入回答選擇題，並以數字回答:;說明:(台北)台北市政府動保處,6號深夜.到.7號凌晨,連續接獲家禽批發市場通報疑似案例;隨即層轉通報行政院動植物防檢局,即刻送檢.凍存,屠宰線停止屠宰24小時;並完成場區擴大消毒作業! 記者 靳傑   報導 台北市動保處表示:6號深夜和7號凌晨,北市家禽批發市場共通報5批家禽屠宰檢查異常案例,分別來自高雄市彌陀區,苗栗縣通霄鎮,屏東縣竹田鄉,和.雲林縣元長鄉的紅羽土雞,屠宰時發現發現紅羽公雞出現眼周圍腫脹,腹部.雙腳腳脛,翅膀末端皮膚潮紅,並有內臟多發出血灶,白色糜爛,及.壞死區等疑似禽流感症狀;屠檢獸醫師於屠後檢查發現,立即刻通報防檢局基隆分局和台北市動保處!北市動保處組長胡金灝說~VOICE台北市動保處防疫人員表示:相關採樣除了送檢,現場並扣留304隻雞屠宰凍存,通知各縣市動物防疫單位回溯來源場.進行後續追蹤調查;並加強北市家禽批發市場清潔消毒,及.休市後進行全場停止屠宰淨空24小時等.生物安全強化措施! 而未來.檢驗結果出爐後,也將和中央同步發布新聞!北市動保處呼籲:夏天腳步接近,禽流感病毒傳播趨緩,不過零星案例仍難避免,因此民眾除了對家禽,應做好完全煮熟食用外,購買時也要認明合格電宰標章,以杜絕私宰,才能吃的安心;此外.也要避免餵飼野鳥,避免接觸禽鳥;同時做好個人衛生,如此才能有效防範禽流感疫情!;問題:台北市動保處防疫人員表示:相關採樣除了送檢,現場並扣留幾隻雞屠宰凍存？1:304,2:305,3:306,4:307
11025	4	 1	請根據以下輸入回答選擇題，並以數字回答:;說明:陸軍湖口五八四旅傳出流行性腦脊髓膜炎疫情，造成一名士兵死亡，目前軍方嚴防營區內群聚感染擴散，應疾管署要求自主健康管理，所屬營全員在室內都要戴口罩，防止傳染。 （記者 徐海倫 報導） 根據了解，一名休假中的張姓士兵因高燒就醫，後來因流行性腦脊髓膜炎死亡，五八四旅接獲通知，緊急集合全連官士兵，包括休假者；疾管署也進營區了解，要求全員進行投藥處理。陸軍第六軍團政戰主任謝明德說： 新竹縣衛生局指出，營區內部的通風、衛生等環境初步判斷沒有問題，由於內部建築屬多人同寢，推測可能在室內集體感染。陸軍第六軍團政戰主任謝明德表示，目前確認張姓士兵死亡，另外七人因不適前往三軍總醫院就醫，其中五人排除感染流行性腦脊髓膜炎，已經出院。(警廣記者徐海倫新竹報導);問題:請問軍中為何容易集體感染？1:內部建物不通風,2:環境不衛生,3:共用衣服,4:多人同寢
1221	1	 4	請根據以下輸入回答選擇題，並以數字回答:;說明:川普決定退出伊朗協議並重新實施制裁，許多人擔心，市場緊繃之際，此舉可能會影響全球石油供應，原油價格也會隨之上揚。國際能源署（IEA）週三表示，需求強勁，加上其他OPEC國家裁減產量，過去3年一直在壓抑價格的因素終於消除。據報導，OPEC最大會員國沙烏地阿拉伯認定，油價必須到達每桶80美元的水準，它才能滿足沉重的國內支出負擔。沙烏地阿拉伯的目標就是提高石油價格，為其經濟改革提供資金。然而，負責為石油消費國提供建言的IEA亦警告，油價已經高到足以影響消費，也調降了需求成長預測。供給成疑慮寶盛集團（Julius Baer Group）的總體經濟及物料研究主管魯克（Norbert Ruecker）表示，「美國退出伊朗核武協議後，供給成為首要疑慮；地理政治噪音和情勢升高的恐懼將揮之不去。」倫敦洲際歐洲期貨交易所（ICE Futures Europe）的7月布蘭特輕油，升幅最高達0.9美元，達每桶80.18美元，為2014年11月以來的最高點。當月交貨的布蘭特輕油，價格較西德中級原油（WTI）高7.68美元。紐約商品交易所的6月WTI，價格為每桶72.06美元，上漲0.57美元。總交易量比100日平均高出41%。上海國際能源交易中心的9月期貨上漲1.9%，升至每桶481.9人民幣，為連續第三日上漲。夏季駕車季即將到來，美國政府週三公佈的數據顯示，美國原油存貨連續第二週下滑。美國能源情報署表示，存貨下滑140萬桶，國內產量則升至每日1,070萬桶；汽油存貨上週亦減少379萬桶。;問題:倫敦洲際歐洲期貨交易所的7月布蘭特輕油的最高美元價格為多少?1:超過80美元,2:介於75到80美元之間,3:介於70到75美元之間,4:低於70美元
297	1	 刺客聶隱娘	請根據以下輸入回答選擇題，並以數字回答:;說明:今年共有11項入圍的電影《刺客聶隱娘》，最後囊括了最佳劇情片、最佳導演、最佳攝影、最佳音效以及最佳造型設計等五項大獎，可說是今年金馬獎的最大贏家;問題:哪部電影是最大贏家1:刺客聶隱娘,2:空城計,3:臥虎藏龍,4:冠軍大叔
12750	3	 8	請根據以下輸入回答選擇題，並以數字回答:;說明:台北市政府水利處表示:暑期學童單車營.教學課程完全免費,並提供小朋友單車,兒童安全帽,護具,以及.保險;今年暑假7&8月間,總共開辦8個梯次;上課地點.在觀山河濱公園的觀山自行車租借站,自7月1號起受理網路報名,且.家長必須陪同受訓!北市水利處.游百崧科長,針對招生年齡限制,和.每梯次的上課時間說明~VOICE台北市工務局水利處表示:這項免費暑期學童單車營,每梯次只利用下午半天的時間,由單車技術教練指導,讓小朋友在玩樂中學習騎車所需的平衡感,和.安全要領;由以往的經驗,大多數小朋友,都可以在一個下午,學會騎單車;相關詳情,可參看:承辦單位:北市河濱自行車營運業者~康美企業社的網站,或電洽:2258-7425詢問!;問題:暑期學童單車營共開幾個梯次？1:6次,2:7次,3:8次,4:9次
8060	3	 2	請根據以下輸入回答選擇題，並以數字回答:;說明:2017臺灣燈會在雲林，虎尾主燈區今天晚上安排總統蔡英文、行政院長林全等人正式開燈，除了安排國內外知名表演團隊接連演出之外，還將在精采主燈秀後、施放長達500秒的煙火。記者黃俊偉的報導。  雲林人等待了28年，爭取主辦權9次，終於讓2017臺灣燈會落腳雲林，縣長李進勇表示，這一年來，縣府團隊可以說是將士用命，傾全力辦好燈會相關工作，終於要將成果、展現在國內外民眾的眼前，不過，李縣長接受警廣專訪時強調，他非常擔心交通的問題，打壞了賞燈民眾的興致。===SO===今年歲次生肖屬雞，臺灣燈會主燈由中研院院士曾永義命名為「鳳凰來儀」，造型設計以鳳凰昂首飛揚、振翅展現翱翔天際的方式呈現，總高度23公尺，整體燈光設計採用全新4D折射方式，並且首創由蔗糖結晶粒、替代傳統濾光材料，不論在任何角度觀賞主燈，都可欣賞到千變萬化的光學奇幻美景。警廣記者黃俊偉雲林報導。;問題:請問雲林爭取燈會主辦權幾次?1:10,2:5,3:9,4:28
13525	3	 本次投資媒合會共邀請23隊台灣新創團隊。	請根據以下輸入回答選擇題，並以數字回答:;說明:為了讓台灣成為亞太地區的創業家匯流基地，科技部舉辦第一屆「國際投資媒合會」，部長陳良基表示，科技部致力於科技產業創新，將投入50億元積極發展A.I.人工智慧。記者陳軍豪報導科技部在今年的台北國際電腦展中舉辦第一屆的InnoVEX國際投資媒合會，邀請來自美國矽谷、加拿大、法國等15國國際創投代表及23隊台灣新創團隊齊聚一堂，進行一對一的媒合配對，科技部長陳良基表示，這次的媒合會特別聚焦在人工智慧AI的產業發展上~TAPE。陳良基進一步表示，台灣多年來薪資低薪化，年輕人看不到未來，科技部要建構一個「有努力、就有機會」的環境，這次的國際電腦展一共有四萬多人次來自各國的買家參與，效果顯著，再搭配國際投資的媒合平台，更能讓台灣優秀的年輕科技團隊走上世界舞台。陳良基也承諾，未來也將持續辦理，一年至少三場的國際投資媒合會，科技部有責任培育人才，建構國家良好的創業生態系。;問題:本次投資媒合會共邀請幾隊台灣新創團隊？1:20,2:21,3:23,4:22
11655	2	 第三條第二項	請根據以下輸入回答選擇題，並以數字回答:;說明:原住民族土地或部落範圍土地劃設辦法即將在立法院進行協商，原民團體認為該條例限縮了原住民傳統領域的定義，希望在協商時尊重部落的自主劃設權。記者朱瑞森報導今年2月14號原住民委員會公布的《原住民族土地劃設辦法》第三條第二項將傳統領域的範圍限縮為公有土地，使100萬公頃私有地排除在原住民傳統領域劃設範圍之外，原住民族主張的傳統領域因此由180萬公頃縮減為80萬公頃，原團批評此辦法侵害《原住民基本法》中所保障的諮商同意權。原住民族青年陣線發言人樂鍇．祿璞崚岸說~tape除了刪除該條款中公有兩字外，原住民族民族議會認為該辦法係劃設土地範圍，不應涉及土地權變動，為避免混淆，法規名稱應修正為原住民族或部落土地範圍劃設辦法；並在辦法中增列原住民族或部落自主組織執行劃設及程序採自主協商等原則。;問題:請問原住民委員會公布的《原住民族土地劃設辦法》的第幾條第幾項將傳統領域的範圍限縮為公有土地？1:第二條第三項,2:第三條第二項,3:第三條第三條,4:第二條第二項
10518	2	 2	請根據以下輸入回答選擇題，並以數字回答:;說明:國研院為了強化我國的海洋探測能力，向新加坡船廠購置一艘8.7億的海洋研究船，在越南製造、下水，預計年底返航台灣，加入我國的海洋研究團隊。記者　陳軍豪　報導這艘海洋研究船是國研院海洋中心向新加坡Triyards船廠所購買，噸位級數達2,580噸，命名為勵進，象徵精益求精，巡航速度可達12節，滿載的船況下能滿足海上30天的作業要求，且設備新穎，海洋中心主任林慧玲說~TAPE。科技部長陳良基表示，科技部未來也將建置一個較完整的研究船隊~TAPE。國研院表示，勵進研究船預定於今年年底交船，將應用在離岸風電產業，提供更精細的海底地形與地質剖面資料，以及支援政府國土調查，大幅拓展我國海域的經營。;問題:海洋研究船是國研院海洋中心向哪個國家的船廠所購買？1:美國,2:新加坡,3:德國,4:泰國
7672	3	 醫師	請根據以下輸入回答選擇題，並以數字回答:;說明:這老殘既無祖業可守，又無行當可做，自然「飢寒」二字漸漸的相逼來了。正在無可如何，可巧天不絕人，來了一個搖串鈴的道士，說是曾受異人傳授，能治百病，街上人找他治病，百治百效。所以這老殘就拜他為師，學了幾個口訣。從此也就搖個串鈴，替人治病餬口去了，奔走江湖近二十年。;問題:老殘的職業是？1:老師,2:律師,3:醫師,4:算命師
7044	3	 問題:請問這起棄屍案的嫌犯總共有幾個？ 選項: 1:1 2:2 3:3 4:4 意識流推理:這起棄屍案的嫌犯總共有四個人。	請根據以下輸入回答選擇題，並以數字回答:;說明:新北市汐止山區前年驚傳棄屍案。鍾姓和餘姓兩名男子只為了兩千元債務，涉嫌將被害人拘禁淩虐致死後棄屍，士林地院今天將兩人分別判處16年和16年4個月刑期，協助拘禁的女子也判刑十個月。記者呂明宗報導前年八月間，一名張姓男子被人發現遭棄屍汐止山區，全身多處外傷，檢警循線捕獲三名嫌犯，其中餘姓和鍾姓兩名男子坦承殺人，供稱是死者欠錢不還才犯案，一度還傳出死者身分疑似是大馬拿督兒子，因積欠買毒費用遭人殺害，不過，檢警進一步查出，死者是馬來西亞來台工人，因積欠在酒店當少爺的鍾姓男子兩千元，鍾姓男子夥同餘姓男子誘騙被害人外出後強行拘禁，期間用盡各種方式淩虐逼債，後來持刀刺殺被害人後推落山谷，檢方偵查後依殺人罪嫌將兩人起訴。案經士林地院審理，法官根據法醫鑑定報告，認為刀傷並非致命原因，而是遭淩虐併發橫紋肌溶解症導致死亡，鍾姓和餘姓雖然沒有殺人犯意，但觸犯私行拘禁致死和殺人未遂等罪，分別判處16年和16年4個月刑期，而協助拘禁被害人的李姓女子也因妨害自由判刑十個月，案件還可上訴。;問題:請問這起棄屍案的嫌犯總共有幾個？1:1,2:2,3:3,4:4
11250	2	 買房子，一定要仔細審閱「買賣定型化契約」，以免衍生消費爭議、損害購屋權益。	請根據以下輸入回答選擇題，並以數字回答:;說明:買房子，一定要仔細審閱「買賣定型化契約」，以免衍生消費爭議、損害購屋權益。臺北市法務局與地政局最近聯合稽查新成屋的定型化契約11個重點項目，共抽查24個建案，結果北投「天母研」及中正區「中正楷悅」的買賣定型化契約11個項目，全部不合格，合格率只有29%。 記者劉碧薇報導------ 台北市法務局迬任消保官何修蘭表示，這次共稽查24家建商的新成屋銷售案，發現定型化契約只有7家全部合格，而萬華區「天澤」、內湖興益發建設的「詠大直」、及中山區「安家T-HOUSE」卡爾頓三家，除了契約審閱期一項合格外，其他也都不合格。另外還有有兩家11項全數不合格。何修蘭說------ 地政局科長沈瑞芬說，進一步檢視建商的定型化契約，不合格的前三名分別是買賣標的不清楚；付款約定、還有貸款處理沒給消費者磋商權益------ 沈瑞芬說，對於定型化契約不合格項目，地政局都已經要求建商限期改善，如果已經簽約，也要求建商與消費者換約。 主任消保官何修蘭表示，如果建商還是不改善，將可以依消保法第56-1條，第一次開罰3-30萬元不等罰款、第二次可加重罰5-50萬元不等罰鍰。;問題:據上文，買房子，一定要仔細審閱什麼契約，以免衍生消費爭議、損害購屋權益？1:租房子一二三契約,2:買賣定型化契約,3:租方先看這器樂,4:租房子定型化契約
12234	4	 1	請根據以下輸入回答選擇題，並以數字回答:;說明:(台北)台北市警局刑事警察大隊,近期規畫世大運前.檢肅扒竊大行動;連續兩個月,共查獲39件,42人;其中外籍犯嫌.就超過一半,查緝的成果.相當豐碩! 記者 靳傑 報導  2017台北世大運進入倒數計時,各國選手隊職員和觀光客,即將陸續抵達;台北市警局為了確保活動期間治安平穩,特別自5月26號起,到.8月31號,規劃為期3個月的:檢肅扒竊大行動!針對人潮聚集處所,和.扒竊犯嫌出沒頻繁地點,像:故宮博物院,台北101,忠烈祠,寧夏,士林,饒河街夜市,和.永康街等觀光景點,加強防制;並製作圖文並茂的:防扒竊宣導海報,以中.英.日.韓文呈現,列舉容易發生扒竊案狀況,拾得遺失物查詢網址;提醒民眾,和.觀光客注意!台北市警局刑大肅竊組,胡玉磊組長說~VOICE 台北市警局表示:世大運期間,各商圈景點人潮更加擁擠,民眾.觀光客財物遭歹徒扒竊的機率大增!提醒務必提高警覺,隨時查看攜帶背包,皮包.皮夾財物;如果發現可疑人士,或有遭竊情形;請立即撥打110報警;讓賽會期間治安平穩,活動順利圓滿!;問題:請問檢肅扒竊大行動共查獲幾件案件？1:36件,2:37件,3:38件,4:39件
12961	1	 2	請根據以下輸入回答選擇題，並以數字回答:;說明:立法院完成年金改革3大法案修正，總統蔡英文表示，可省下1.4兆，挹注公教基金，維持一個世代30年的財務穩健。她感謝所有現職和退休的公教同仁扮演中流砥柱，幫國家度過難關。記者林郁青報導。立法院臨時會繼先前通過《公務人員退休資遣撫卹法》及《公立學校教職員退休資遣撫卹條例》修法後，30號也通過《政務人員退職撫卹條例》。總統蔡英文表示，調降公教人員所得替代率，把18%優存調降或取消，並延後請領年齡，年金破產終於不再是迫切危機：「tape~」總統也呼籲，不要用非理性言語攻擊特定立委或其他人，她強調，改革壓力她會承擔，所有責難到她為止。總統感謝年改委員會、考試院、行政院各部會和立院執政黨團的辛勞，及國會審議過程在野各黨團提供的修正意見，她相信歷史會記住第九屆立法院的貢獻。總統認為，民主不只是價值，更是解決爭議的方法，台灣再次因民主而偉大。至於軍人的年改還未送立院審議，目前正由國防部草擬版本。;問題:立法院臨時通過《公立學校教職員退休資遣撫卹條例》以及哪一個法條的修法？1:公務人員退休資遣撫卹法,2:公立學校教職員退休資遣撫卹條例,3:政務人員退職撫卹條例,4:毒品法
